product_id,month_start,inventory_units
1001,2021-01-01,9534
1001,2021-02-01,9534
1001,2021-03-01,9534
1001,2021-04-01,9534
1001,2021-05-01,9534
1001,2021-06-01,9534
1001,2021-07-01,9534
1001,2021-08-01,9534
1001,2021-09-01,9534
1001,2021-10-01,9534
1001,2021-11-01,9534
1001,2021-12-01,9534
1001,2022-01-01,9534
1001,2022-02-01,9534
1001,2022-03-01,9534
1001,2022-04-01,9534
1001,2022-05-01,9534
1001,2022-06-01,9534
1001,2022-07-01,9534
1001,2022-08-01,9534
1001,2022-09-01,9534
1001,2022-10-01,9534
1001,2022-11-01,9534
1001,2022-12-01,9534
1001,2023-01-01,9534
1001,2023-02-01,9534
1001,2023-03-01,9534
1001,2023-04-01,9534
1001,2023-05-01,9534
1001,2023-06-01,9534
1001,2023-07-01,9534
1001,2023-08-01,9534
1001,2023-09-01,9534
1001,2023-10-01,9534
1001,2023-11-01,9534
1001,2023-12-01,9534
1001,2024-01-01,9534
1001,2024-02-01,9534
1001,2024-03-01,9534
1001,2024-04-01,9534
1001,2024-05-01,9534
1001,2024-06-01,9534
1001,2024-07-01,9534
1001,2024-08-01,9534
1001,2024-09-01,9534
1001,2024-10-01,9534
1001,2024-11-01,9534
1001,2024-12-01,9534
1001,2025-01-01,9534
1001,2025-02-01,9534
1001,2025-03-01,9534
1001,2025-04-01,9534
1001,2025-05-01,9534
1001,2025-06-01,9534
1001,2025-07-01,9534
1001,2025-08-01,9534
1001,2025-09-01,9534
1001,2025-10-01,9534
1002,2021-01-01,12380
1002,2021-02-01,12380
1002,2021-03-01,12380
1002,2021-04-01,12380
1002,2021-05-01,12380
1002,2021-06-01,12380
1002,2021-07-01,12380
1002,2021-08-01,12380
1002,2021-09-01,12380
1002,2021-10-01,12380
1002,2021-11-01,12380
1002,2021-12-01,12380
1002,2022-01-01,12380
1002,2022-02-01,12380
1002,2022-03-01,12380
1002,2022-04-01,12380
1002,2022-05-01,12380
1002,2022-06-01,12380
1002,2022-07-01,12380
1002,2022-08-01,12380
1002,2022-09-01,12380
1002,2022-10-01,12380
1002,2022-11-01,12380
1002,2022-12-01,12380
1002,2023-01-01,12380
1002,2023-02-01,12380
1002,2023-03-01,12380
1002,2023-04-01,12380
1002,2023-05-01,12380
1002,2023-06-01,12380
1002,2023-07-01,12380
1002,2023-08-01,12380
1002,2023-09-01,12380
1002,2023-10-01,12380
1002,2023-11-01,12380
1002,2023-12-01,12380
1002,2024-01-01,12380
1002,2024-02-01,12380
1002,2024-03-01,12380
1002,2024-04-01,12380
1002,2024-05-01,12380
1002,2024-06-01,12380
1002,2024-07-01,12380
1002,2024-08-01,12380
1002,2024-09-01,12380
1002,2024-10-01,12380
1002,2024-11-01,12380
1002,2024-12-01,12380
1002,2025-01-01,12380
1002,2025-02-01,12380
1002,2025-03-01,12380
1002,2025-04-01,12380
1002,2025-05-01,12380
1002,2025-06-01,12380
1002,2025-07-01,12380
1002,2025-08-01,12380
1002,2025-09-01,12380
1002,2025-10-01,12380
1003,2021-01-01,11233
1003,2021-02-01,11233
1003,2021-03-01,11233
1003,2021-04-01,11233
1003,2021-05-01,11233
1003,2021-06-01,11233
1003,2021-07-01,11233
1003,2021-08-01,11233
1003,2021-09-01,11233
1003,2021-10-01,11233
1003,2021-11-01,11233
1003,2021-12-01,11233
1003,2022-01-01,11233
1003,2022-02-01,11233
1003,2022-03-01,11233
1003,2022-04-01,11233
1003,2022-05-01,11233
1003,2022-06-01,11233
1003,2022-07-01,11233
1003,2022-08-01,11233
1003,2022-09-01,11233
1003,2022-10-01,11233
1003,2022-11-01,11233
1003,2022-12-01,11233
1003,2023-01-01,11233
1003,2023-02-01,11233
1003,2023-03-01,11233
1003,2023-04-01,11233
1003,2023-05-01,11233
1003,2023-06-01,11233
1003,2023-07-01,11233
1003,2023-08-01,11233
1003,2023-09-01,11233
1003,2023-10-01,11233
1003,2023-11-01,11233
1003,2023-12-01,11233
1003,2024-01-01,11233
1003,2024-02-01,11233
1003,2024-03-01,11233
1003,2024-04-01,11233
1003,2024-05-01,11233
1003,2024-06-01,11233
1003,2024-07-01,11233
1003,2024-08-01,11233
1003,2024-09-01,11233
1003,2024-10-01,11233
1003,2024-11-01,11233
1003,2024-12-01,11233
1003,2025-01-01,11233
1003,2025-02-01,11233
1003,2025-03-01,11233
1003,2025-04-01,11233
1003,2025-05-01,11233
1003,2025-06-01,11233
1003,2025-07-01,11233
1003,2025-08-01,11233
1003,2025-09-01,11233
1003,2025-10-01,11233
1004,2021-01-01,15921
1004,2021-02-01,15921
1004,2021-03-01,15921
1004,2021-04-01,15921
1004,2021-05-01,15921
1004,2021-06-01,15921
1004,2021-07-01,15921
1004,2021-08-01,15921
1004,2021-09-01,15921
1004,2021-10-01,15921
1004,2021-11-01,15921
1004,2021-12-01,15921
1004,2022-01-01,15921
1004,2022-02-01,15921
1004,2022-03-01,15921
1004,2022-04-01,15921
1004,2022-05-01,15921
1004,2022-06-01,15921
1004,2022-07-01,15921
1004,2022-08-01,15921
1004,2022-09-01,15921
1004,2022-10-01,15921
1004,2022-11-01,15921
1004,2022-12-01,15921
1004,2023-01-01,15921
1004,2023-02-01,15921
1004,2023-03-01,15921
1004,2023-04-01,15921
1004,2023-05-01,15921
1004,2023-06-01,15921
1004,2023-07-01,15921
1004,2023-08-01,15921
1004,2023-09-01,15921
1004,2023-10-01,15921
1004,2023-11-01,15921
1004,2023-12-01,15921
1004,2024-01-01,15921
1004,2024-02-01,15921
1004,2024-03-01,15921
1004,2024-04-01,15921
1004,2024-05-01,15921
1004,2024-06-01,15921
1004,2024-07-01,15921
1004,2024-08-01,15921
1004,2024-09-01,15921
1004,2024-10-01,15921
1004,2024-11-01,15921
1004,2024-12-01,15921
1004,2025-01-01,15921
1004,2025-02-01,15921
1004,2025-03-01,15921
1004,2025-04-01,15921
1004,2025-05-01,15921
1004,2025-06-01,15921
1004,2025-07-01,15921
1004,2025-08-01,15921
1004,2025-09-01,15921
1004,2025-10-01,15921
1005,2021-01-01,11382
1005,2021-02-01,11382
1005,2021-03-01,11382
1005,2021-04-01,11382
1005,2021-05-01,11382
1005,2021-06-01,11382
1005,2021-07-01,11382
1005,2021-08-01,11382
1005,2021-09-01,11382
1005,2021-10-01,11382
1005,2021-11-01,11382
1005,2021-12-01,11382
1005,2022-01-01,11382
1005,2022-02-01,11382
1005,2022-03-01,11382
1005,2022-04-01,11382
1005,2022-05-01,11382
1005,2022-06-01,11382
1005,2022-07-01,11382
1005,2022-08-01,11382
1005,2022-09-01,11382
1005,2022-10-01,11382
1005,2022-11-01,11382
1005,2022-12-01,11382
1005,2023-01-01,11382
1005,2023-02-01,11382
1005,2023-03-01,11382
1005,2023-04-01,11382
1005,2023-05-01,11382
1005,2023-06-01,11382
1005,2023-07-01,11382
1005,2023-08-01,11382
1005,2023-09-01,11382
1005,2023-10-01,11382
1005,2023-11-01,11382
1005,2023-12-01,11382
