product_id,month_start,promo_intensity,supplier_delay_flag
1001,2021-01-01,0.15,0
1001,2021-02-01,0.15,0
1001,2021-04-01,0.25,0
1001,2021-05-01,0.25,0
1001,2021-07-01,0.25,0
1001,2021-08-01,0.1,0
1001,2021-11-01,0.3,0
1001,2021-12-01,0.2,0
1001,2022-01-01,0.25,0
1001,2022-02-01,0.25,0
1001,2022-04-01,0.25,0
1001,2022-05-01,0.25,0
1001,2022-07-01,0.25,0
1001,2022-08-01,0.1,0
1001,2022-11-01,0.35,0
1001,2022-12-01,0.1,0
1001,2023-01-01,0.15,0
1001,2023-02-01,0.15,0
1001,2023-03-01,0.2,0
1001,2023-04-01,0.25,0
1001,2023-06-01,0.2,0
1001,2023-07-01,0.2,0
1001,2023-08-01,0.2,0
1001,2023-11-01,0.35,0
1001,2023-12-01,0.15,0
1001,2024-01-01,0.15,0
1001,2024-02-01,0.15,0
1001,2024-03-01,0.15,0
1001,2024-04-01,0.2,0
1001,2024-06-01,0.3,0
1001,2024-07-01,0.1,0
1001,2024-08-01,0.1,0
1001,2024-11-01,0.35,0
1001,2024-12-01,0.15,0
1001,2025-01-01,0.15,0
1001,2025-02-01,0.15,0
1001,2025-03-01,0.3,0
1001,2025-04-01,0.3,0
1001,2025-06-01,0.25,0
1001,2025-07-01,0.1,0
1001,2025-08-01,0.1,0
1002,2021-01-01,0.15,0
1002,2021-02-01,0.15,0
1002,2021-04-01,0.25,0
1002,2021-05-01,0.25,0
1002,2021-07-01,0.25,0
1002,2021-08-01,0.1,0
1002,2021-11-01,0.3,0
1002,2021-12-01,0.2,0
1002,2022-01-01,0.25,0
1002,2022-02-01,0.25,0
1002,2022-04-01,0.25,0
1002,2022-05-01,0.25,0
1002,2022-07-01,0.25,0
1002,2022-08-01,0.1,0
1002,2022-11-01,0.35,0
1002,2022-12-01,0.1,0
1002,2023-01-01,0.15,0
1002,2023-02-01,0.15,0
1002,2023-03-01,0.2,0
1002,2023-04-01,0.25,0
1002,2023-06-01,0.2,0
1002,2023-07-01,0.2,0
1002,2023-08-01,0.2,0
1002,2023-11-01,0.35,0
1002,2023-12-01,0.15,0
1002,2024-01-01,0.15,0
1002,2024-02-01,0.15,0
1002,2024-03-01,0.15,0
1002,2024-04-01,0.2,0
1002,2024-06-01,0.3,0
1002,2024-07-01,0.1,0
1002,2024-08-01,0.1,0
1002,2024-11-01,0.35,0
1002,2025-01-01,0.15,0
1002,2025-02-01,0.15,0
1002,2025-03-01,0.3,0
1002,2025-04-01,0.3,0
1002,2025-06-01,0.25,0
1002,2025-07-01,0.1,0
1002,2025-08-01,0.1,0
1003,2021-01-01,0.15,0
1003,2021-02-01,0.15,0
1003,2021-04-01,0.25,0
1003,2021-05-01,0.25,0
1003,2021-07-01,0.25,0
1003,2021-08-01,0.1,0
1003,2021-11-01,0.3,0
1003,2021-12-01,0.2,0
1003,2022-01-01,0.25,0
1003,2022-02-01,0.25,0
1003,2022-04-01,0.25,0
1003,2022-05-01,0.25,0
1003,2022-07-01,0.25,0
1003,2022-08-01,0.1,0
1003,2022-11-01,0.35,0
1003,2022-12-01,0.1,0
1003,2023-01-01,0.15,0
1003,2023-02-01,0.15,0
1003,2023-03-01,0.2,0
1003,2023-04-01,0.25,0
1003,2023-06-01,0.2,0
1003,2023-07-01,0.2,0
1003,2023-08-01,0.2,0
1003,2023-11-01,0.35,0
1003,2023-12-01,0.15,0
1003,2024-01-01,0.15,0
1003,2024-02-01,0.15,0
1003,2024-03-01,0.15,0
1003,2024-04-01,0.2,0
1003,2024-06-01,0.3,0
1003,2024-07-01,0.1,0
1003,2024-08-01,0.1,0
1003,2024-11-01,0.35,0
1003,2024-12-01,0.35,0
1003,2025-01-01,0.15,0
1003,2025-02-01,0.15,0
1003,2025-03-01,0.3,0
1003,2025-06-01,0.25,0
1003,2025-07-01,0.1,0
1003,2025-08-01,0.1,0
1004,2021-01-01,0.15,0
1004,2021-02-01,0.15,0
1004,2021-04-01,0.25,0
1004,2021-05-01,0.25,0
1004,2021-07-01,0.1,0
1004,2021-08-01,0.1,0
1004,2021-11-01,0.3,0
1004,2021-12-01,0.2,0
1004,2022-01-01,0.25,0
1004,2022-02-01,0.25,0
1004,2022-04-01,0.25,0
1004,2022-05-01,0.25,0
1004,2022-07-01,0.25,0
1004,2022-08-01,0.1,0
1004,2022-11-01,0.35,0
1004,2022-12-01,0.1,0
1004,2023-01-01,0.15,0
1004,2023-02-01,0.15,0
1004,2023-03-01,0.2,0
1004,2023-04-01,0.25,0
1004,2023-06-01,0.2,0
1004,2023-07-01,0.2,0
1004,2023-08-01,0.2,0
1004,2023-11-01,0.35,0
1004,2023-12-01,0.15,0
1004,2024-01-01,0.15,0
1004,2024-02-01,0.15,0
1004,2024-03-01,0.15,0
1004,2024-04-01,0.2,0
1004,2024-06-01,0.3,0
1004,2024-07-01,0.1,0
1004,2024-08-01,0.1,0
1004,2024-11-01,0.35,0
1004,2024-12-01,0.35,0
1004,2025-01-01,0.15,0
1004,2025-02-01,0.15,0
1004,2025-03-01,0.3,0
1004,2025-04-01,0.3,0
1004,2025-06-01,0.25,0
1004,2025-07-01,0.1,0
1004,2025-08-01,0.1,0
1005,2021-01-01,0.15,0
1005,2021-02-01,0.15,0
1005,2021-04-01,0.25,0
1005,2021-05-01,0.25,0
1005,2021-07-01,0.25,0
1005,2021-08-01,0.1,0
1005,2021-11-01,0.3,0
1005,2021-12-01,0.2,0
1005,2022-01-01,0.25,0
1005,2022-02-01,0.25,0
1005,2022-04-01,0.25,0
1005,2022-05-01,0.25,0
1005,2022-07-01,0.1,0
1005,2022-08-01,0.1,0
1005,2022-11-01,0.35,0
1005,2022-12-01,0.1,0
1005,2023-01-01,0.15,0
1005,2023-02-01,0.15,0
1005,2023-03-01,0.2,0
1005,2023-04-01,0.25,0
1005,2023-06-01,0.2,0
1005,2023-07-01,0.2,0
1005,2023-08-01,0.2,0
1005,2023-11-01,0.35,0
1005,2023-12-01,0.15,0
1005,2024-01-01,0.15,0
1005,2024-02-01,0.15,0
1005,2024-03-01,0.15,0
1005,2024-04-01,0.2,0
1005,2024-06-01,0.3,0
1005,2024-07-01,0.1,0
1005,2024-08-01,0.1,0
1005,2024-11-01,0.35,0
1005,2024-12-01,0.35,0
1005,2025-01-01,0.15,0
1005,2025-02-01,0.15,0
1005,2025-03-01,0.3,0
1005,2025-04-01,0.3,0
1005,2025-06-01,0.25,0
1005,2025-07-01,0.1,0
1005,2025-08-01,0.1,0
1007,2021-01-01,0.15,0
1007,2021-02-01,0.15,0
1007,2021-04-01,0.25,0
1007,2021-05-01,0.25,0
1007,2021-07-01,0.1,0
1007,2021-08-01,0.1,0
1007,2021-11-01,0.3,0
1007,2021-12-01,0.2,0
1007,2022-01-01,0.25,0
1007,2022-02-01,0.25,0
1007,2022-04-01,0.25,0
1007,2022-05-01,0.25,0
1007,2022-07-01,0.1,0
1007,2022-08-01,0.1,0
1007,2022-11-01,0.35,0
1007,2022-12-01,0.1,0
1007,2023-01-01,0.15,0
1007,2023-02-01,0.15,0
1007,2023-03-01,0.2,0
1007,2023-04-01,0.25,0
1007,2023-07-01,0.2,0
1007,2023-08-01,0.2,0
1007,2023-11-01,0.35,0
1007,2023-12-01,0.15,0
1007,2024-01-01,0.15,0
1007,2024-02-01,0.15,0
1007,2024-03-01,0.15,0
1007,2024-04-01,0.2,0
1007,2024-06-01,0.3,0
1007,2024-07-01,0.1,0
1007,2024-08-01,0.1,0
1007,2024-11-01,0.35,0
1007,2024-12-01,0.15,0
1007,2025-01-01,0.15,0
1007,2025-02-01,0.15,0
1007,2025-03-01,0.3,0
1007,2025-04-01,0.3,0
1007,2025-06-01,0.25,0
1007,2025-07-01,0.1,0
1007,2025-08-01,0.1,0
1008,2021-01-01,0.15,0
1008,2021-02-01,0.15,0
1008,2021-04-01,0.25,0
1008,2021-05-01,0.25,0
1008,2021-07-01,0.25,0
1008,2021-08-01,0.1,0
1008,2021-11-01,0.3,0
1008,2021-12-01,0.2,0
1008,2022-01-01,0.25,0
1008,2022-02-01,0.25,0
1008,2022-04-01,0.25,0
1008,2022-05-01,0.25,0
1008,2022-07-01,0.25,0
1008,2022-08-01,0.1,0
1008,2022-11-01,0.35,0
1008,2022-12-01,0.1,0
1008,2023-01-01,0.15,0
1008,2023-02-01,0.15,0
1008,2023-03-01,0.2,0
1008,2023-04-01,0.2,0
1008,2023-06-01,0.2,0
1008,2023-07-01,0.2,0
1008,2023-08-01,0.2,0
1008,2023-11-01,0.35,0
1008,2023-12-01,0.15,0
1008,2024-01-01,0.15,0
1008,2024-02-01,0.15,0
1008,2024-03-01,0.15,0
1008,2024-04-01,0.2,0
1008,2024-06-01,0.3,0
1008,2024-07-01,0.1,0
1008,2024-08-01,0.1,0
1008,2024-11-01,0.35,0
1008,2024-12-01,0.35,0
1008,2025-01-01,0.15,0
1008,2025-02-01,0.15,0
1008,2025-03-01,0.3,0
1008,2025-06-01,0.25,0
1008,2025-07-01,0.1,0
1008,2025-08-01,0.1,0
1009,2021-01-01,0.15,0
1009,2021-02-01,0.15,0
1009,2021-04-01,0.25,0
1009,2021-05-01,0.25,0
1009,2021-07-01,0.25,0
1009,2021-08-01,0.1,0
1009,2021-11-01,0.3,0
1009,2021-12-01,0.2,0
1009,2022-01-01,0.25,0
1009,2022-02-01,0.25,0
1009,2022-04-01,0.25,0
1009,2022-05-01,0.25,0
1009,2022-07-01,0.25,0
1009,2022-08-01,0.1,0
1009,2022-11-01,0.35,0
1009,2022-12-01,0.1,0
1009,2023-01-01,0.15,0
1009,2023-02-01,0.15,0
1009,2023-03-01,0.2,0
1009,2023-04-01,0.25,0
1009,2023-06-01,0.2,0
1009,2023-07-01,0.2,0
1009,2023-08-01,0.2,0
1009,2023-11-01,0.35,0
1009,2023-12-01,0.15,0
1009,2024-01-01,0.15,0
1009,2024-02-01,0.15,0
1009,2024-03-01,0.15,0
1009,2024-04-01,0.2,0
1009,2024-06-01,0.3,0
1009,2024-07-01,0.1,0
1009,2024-08-01,0.1,0
1009,2024-11-01,0.35,0
1009,2024-12-01,0.15,0
1009,2025-01-01,0.15,0
1009,2025-02-01,0.15,0
1009,2025-03-01,0.3,0
1009,2025-04-01,0.3,0
1009,2025-06-01,0.25,0
1009,2025-07-01,0.1,0
1009,2025-08-01,0.1,0
1010,2021-01-01,0.15,0
1010,2021-02-01,0.15,0
1010,2021-04-01,0.25,0
1010,2021-05-01,0.25,0
1010,2021-07-01,0.25,0
1010,2021-08-01,0.1,0
1010,2021-11-01,0.3,0
1010,2021-12-01,0.2,0
1010,2022-01-01,0.25,0
1010,2022-02-01,0.25,0
1010,2022-04-01,0.25,0
1010,2022-05-01,0.25,0
1010,2022-07-01,0.25,0
1010,2022-08-01,0.1,0
1010,2022-11-01,0.35,0
1010,2022-12-01,0.1,0
1010,2023-01-01,0.15,0
1010,2023-02-01,0.15,0
1010,2023-03-01,0.2,0
1010,2023-04-01,0.25,0
1010,2023-06-01,0.2,0
1010,2023-07-01,0.2,0
1010,2023-08-01,0.2,0
1010,2023-11-01,0.35,0
1010,2023-12-01,0.15,0
1010,2024-01-01,0.15,0
1010,2024-02-01,0.15,0
1010,2024-03-01,0.15,0
1010,2024-04-01,0.2,0
1010,2024-06-01,0.3,0
1010,2024-07-01,0.1,0
1010,2024-08-01,0.1,0
1010,2024-11-01,0.35,0
1010,2024-12-01,0.35,0
1010,2025-01-01,0.15,0
1010,2025-02-01,0.15,0
1010,2025-03-01,0.3,0
